method,diskCount,executionTime,solutionHeight,expandedNodes,frontierNodes,heuristic
Aestrella,5,0.009863200000836514,31,153,305,SHF
Aestrella,5,0.012504800004535355,35,173,345,THF
Aestrella,5,0.005146600000443868,31,164,327,FHF
Aestrella,5,0.007994399988092482,31,153,305,SHF
Aestrella,5,0.007338700001128018,35,173,345,THF
Aestrella,5,0.005538599987630732,31,164,327,FHF
Aestrella,5,0.011381999996956438,31,153,305,SHF
Aestrella,5,0.009599099998013116,35,173,345,THF
Aestrella,5,0.006069000010029413,31,164,327,FHF
Aestrella,5,0.010145000007469207,31,153,305,SHF
Aestrella,5,0.009606699997675605,35,173,345,THF
Aestrella,5,0.010847099998500198,31,164,327,FHF
Aestrella,5,0.010760000004665926,31,153,305,SHF
Aestrella,5,0.007713099999818951,35,173,345,THF
Aestrella,5,0.005514399992534891,31,164,327,FHF
Aestrella,5,0.011816799989901483,31,153,305,SHF
Aestrella,5,0.01100100000621751,35,173,345,THF
Aestrella,5,0.009443500006454997,31,164,327,FHF
Aestrella,5,0.009842500003287569,31,153,305,SHF
Aestrella,5,0.009988400008296594,35,173,345,THF
Aestrella,5,0.008358699997188523,31,164,327,FHF
Aestrella,5,0.011261299994657747,31,153,305,SHF
Aestrella,5,0.00840430000971537,35,173,345,THF
Aestrella,5,0.006993000002694316,31,164,327,FHF
Aestrella,5,0.010453499999130145,31,153,305,SHF
Aestrella,5,0.006245800002943724,35,173,345,THF
Aestrella,5,0.006050099997082725,31,164,327,FHF
Aestrella,5,0.006781799995223992,31,153,305,SHF
Aestrella,5,0.006848499993793666,35,173,345,THF
Aestrella,5,0.011272599993390031,31,164,327,FHF
Aestrella,5,0.008875500003341585,31,153,305,SHF
Aestrella,5,0.01050250000844244,35,173,345,THF
Aestrella,3,0.0006390000053215772,7,13,25,FHF
Aestrella,3,0.0011021999962395057,7,11,21,SHF
Aestrella,3,0.001220999998622574,9,17,33,THF
Aestrella,3,0.0010154000046895817,7,13,25,FHF
Aestrella,3,0.0007639999967068434,7,11,21,SHF
Aestrella,3,0.0014207999920472503,9,17,33,THF
Aestrella,3,0.0007440000044880435,7,13,25,FHF
Aestrella,3,0.0007943999953567982,7,11,21,SHF
Aestrella,3,0.0009365000005345792,9,17,33,THF
Aestrella,3,0.0007874000002630055,7,13,25,FHF
Aestrella,3,0.0006873000093037263,7,11,21,SHF
Aestrella,3,0.0007620000105816871,9,17,33,THF
Aestrella,3,0.0014069000026211143,7,13,25,FHF
Aestrella,3,0.0005986000032862648,7,11,21,SHF
Aestrella,3,0.0010021000052802265,9,17,33,THF
Aestrella,3,0.0009698999929241836,7,13,25,FHF
Aestrella,3,0.000628499998128973,7,11,21,SHF
Aestrella,3,0.0010581000096863136,9,17,33,THF
Aestrella,3,0.0007645000005140901,7,13,25,FHF
Aestrella,3,0.0007603999983984977,7,11,21,SHF
Aestrella,3,0.0021351000032154843,9,17,33,THF
Aestrella,3,0.0007179999956861138,7,13,25,FHF
Aestrella,3,0.0006304999988060445,7,11,21,SHF
Aestrella,3,0.001164700006484054,9,17,33,THF
Aestrella,3,0.0008213000110117719,7,13,25,FHF
Aestrella,3,0.0006622000073548406,7,11,21,SHF
Aestrella,3,0.000698300005751662,9,17,33,THF
Aestrella,3,0.0011306999949738383,7,13,25,FHF
Aestrella,3,0.0007722000009380281,7,11,21,SHF
Aestrella,3,0.0007581000099889934,9,17,33,THF
