execution time, solution height, expanded Nodes, frontier nodes
0.0005204999906709418,7,18,36
0.0004895000020042062,7,18,36
0.0004881000058958307,7,18,36
0.0004445999948075041,7,18,36
0.0004981000092811882,7,18,36
0.0004498999915085733,7,21,42
0.005554800009122118,31,211,422
1.2600211999961175,500,36194,72388
0.30035720000159927,127,8076,16151
0.3195335999917006,127,8076,16151
0.3120755999989342,127,8076,16151
0.2838671999925282,127,8076,16151
